Annee;Subdivision;Sexe;Age quinquennal 80;Population
1988;Marquises;Femme;65-69 ans;42
1988;Marquises;Femme;70-74 ans;29
1988;Marquises;Femme;75-79 ans;11
1988;Marquises;Femme;80 ans et plus;3
1988;Australes;Homme;Moins de 5 ans;462
1988;Australes;Homme;5-9 ans;402
1988;Australes;Homme;10-14 ans;469
1988;Australes;Homme;15-19 ans;443
1988;Australes;Homme;20-24 ans;288
1988;Australes;Homme;25-29 ans;265
1988;Australes;Homme;30-34 ans;197
1988;Australes;Homme;35-39 ans;168
1988;Australes;Homme;40-44 ans;131
1988;Australes;Homme;45-49 ans;113
1988;Australes;Homme;50-54 ans;130
1988;Australes;Homme;55-59 ans;108
1988;Australes;Homme;60-64 ans;86
1988;Australes;Homme;65-69 ans;54
1988;Australes;Homme;70-74 ans;37
1988;Australes;Homme;75-79 ans;25
1988;Australes;Homme;80 ans et plus;18
1988;Australes;Femme;Moins de 5 ans;418
1988;Australes;Femme;5-9 ans;394
1988;Australes;Femme;10-14 ans;427
1988;Australes;Femme;15-19 ans;388
1988;Australes;Femme;20-24 ans;286
1988;Australes;Femme;25-29 ans;223
1988;Australes;Femme;30-34 ans;190
1988;Australes;Femme;35-39 ans;142
1988;Australes;Femme;40-44 ans;119
1988;Australes;Femme;45-49 ans;114
1988;Australes;Femme;50-54 ans;112
1988;Australes;Femme;55-59 ans;98
1988;Australes;Femme;60-64 ans;71
1988;Australes;Femme;65-69 ans;48
1988;Australes;Femme;70-74 ans;41
1988;Australes;Femme;75-79 ans;27
1988;Australes;Femme;80 ans et plus;15
1988;Tuamotu-Gambier;Homme;Moins de 5 ans;843
1988;Tuamotu-Gambier;Homme;5-9 ans;659
1988;Tuamotu-Gambier;Homme;10-14 ans;602
1988;Tuamotu-Gambier;Homme;15-19 ans;651
1988;Tuamotu-Gambier;Homme;20-24 ans;947
1988;Tuamotu-Gambier;Homme;25-29 ans;900
1988;Tuamotu-Gambier;Homme;30-34 ans;841
1988;Tuamotu-Gambier;Homme;35-39 ans;530
1988;Tuamotu-Gambier;Homme;40-44 ans;403
1988;Tuamotu-Gambier;Homme;45-49 ans;368
1988;Tuamotu-Gambier;Homme;50-54 ans;296
1988;Tuamotu-Gambier;Homme;55-59 ans;203
1988;Tuamotu-Gambier;Homme;60-64 ans;139
1988;Tuamotu-Gambier;Homme;65-69 ans;92
1988;Tuamotu-Gambier;Homme;70-74 ans;65
1988;Tuamotu-Gambier;Homme;75-79 ans;34
1988;Tuamotu-Gambier;Homme;80 ans et plus;15
1988;Tuamotu-Gambier;Femme;Moins de 5 ans;813
1988;Tuamotu-Gambier;Femme;5-9 ans;733
1988;Tuamotu-Gambier;Femme;10-14 ans;554
1988;Tuamotu-Gambier;Femme;15-19 ans;523
1988;Tuamotu-Gambier;Femme;20-24 ans;419
1988;Tuamotu-Gambier;Femme;25-29 ans;376
1988;Tuamotu-Gambier;Femme;30-34 ans;293
1988;Tuamotu-Gambier;Femme;35-39 ans;193
